Date,Open,High,Low,Close,Adj Close,Volume,Diff
8/3/2018,1956.5,1982.050049,1956.5,1979.449951,1979.449951,1505131,26.699951
8/6/2018,1997,1998.949951,1972.25,1975.550049,1975.550049,1532249,18.650024
8/7/2018,1978.199951,1979.150024,1960.5,1967.349976,1967.349976,1353560,16.300049
8/8/2018,1972,1978.300049,1962,1974,1974,1315062,14.800049
8/9/2018,1980,1980.800049,1966,1974.349976,1974.349976,2060297,24.449951
8/10/2018,1980.949951,1996.5,1972.050049,1993.099976,1993.099976,2784105,14.25
8/13/2018,1997.800049,2004.25,1990,2000.150024,2000.150024,3559575,42.199952
8/14/2018,1992,2024.599976,1982.400024,2003.550049,2003.550049,3311765,25.050049
8/16/2018,2000.300049,2020.050049,1995,2008.5,2008.5,2152065,17.900024
8/17/2018,2013.849976,2021.900024,2004,2012.75,2012.75,1213731,20.300049
8/20/2018,2024,2024,2003.699951,2009.949951,2009.949951,1587032,20
8/21/2018,2010.150024,2024,2004,2017.650024,2017.650024,1376866,17.699951
8/23/2018,2022.800049,2038,2020.300049,2035.099976,2035.099976,3046791,15
8/24/2018,2035.099976,2046,2031,2043,2043,1570533,24
8/27/2018,2043,2059,2035,2050.899902,2050.899902,1532702,20
8/28/2018,2055,2072,2052,2069.199951,2069.199951,1987983,31.000122
8/29/2018,2072.5,2076.600098,2045.599976,2072,2072,1525867,19.5
8/30/2018,2068,2085,2065.5,2082.399902,2082.399902,2408020,18
8/31/2018,2082.300049,2092,2074,2078.399902,2078.399902,2504554,41.600098
9/3/2018,2084.800049,2090,2048.399902,2052.899902,2052.899902,1439711,0
