age,height,weight,armlen,gender,food
37,175,85,40,Male,Vegetarian
31,160,70,40,Male,Vegetarian
36,175,75,40,Male,Vegetarian
21,154,50,14,Female,Vegetarian
50,172,78,70,Male,Non-vegetarian
23,185,64,42,Male,Non-vegetarian
42,172,71,60,Male,Vegetarian
30,122,52,120,Male,Vegetarian
21,185.928,67.73,42,Male,Vegetarian
21,165,45,13,Female,Vegetarian
21,167,45,31,Female,Vegetarian
21,154,50,34,Female,Vegetarian
30,171,55,45,Female,Vegetarian
21,164,50,44,Male,Non-vegetarian
32,164,67,45,Female,Vegetarian
21,166,45,38,Female,Vegetarian
21,154,50,43,Female,Vegetarian
21,160,46,41,Female,Vegetarian
30,172,65,47,Male,Vegetarian
28,175,67,45,Male,Vegetarian
30,177,68,45,Male,Vegetarian
31,155,58,45,Female,Non-vegetarian
28,155,54,44,Female,Vegetarian
21,154,50,49,Female,Vegetarian
42,175,66,50,Female,Vegetarian
42,176,71,50,Male,Vegetarian
21,167,45,49,Female,Vegetarian
37,170,85,50,Male,Vegetarian
35,160,46,42,Female,Vegetarian
33,175,66,50,Male,Vegetarian
36,170,81,47,Male,Vegetarian
36,175,75,43,Male,Vegetarian
31,170,53,47,Male,Vegetarian
50,179,78,51,Male,Non-vegetarian
21,160,47,46,Female,Vegetarian
37,168,65,47,Female,Non-vegetarian
31,164,70,46,Male,Vegetarian
42,175,66,50,Female,Vegetarian
29,162,63,41,Female,Vegetarian
45,173.73,83,49,Male,Vegetarian
27,180,79,45,Male,Vegetarian
